data space_name local_class global_class
1 扉の前 34 28
12 扉の前 34 28
172 扉の前 34 28
588 本棚の前 23 27
601 ミーティングスペース 29 24
831 本棚の前 23 27
1030 ミーティングスペース 29 24
1050 秘書スペース 4 23
1055 秘書スペース 8 23
1086 秘書スペース 8 23
1160 共有スペース 12 22
1187 サーバ前 26 47
1263 サーバ前 0 47
1311 白い棚の前 3 29
1370 ワークスペース 17 40
1515 コピー機前 6 49
1629 共有スペース 7 22
1651 ワークスペース 12 40
1753 ワークスペース 17 40
2059 キッチン 18 31
2082 キッチン 18 31
2091 キッチン 18 31
2193 コーヒーサーバ前 6 34
2327 冷藏庫前 10 37
2978 ワークスペース 17 40
3068 冷藏庫前 10 37
3072 扉の前 37 28
3078 扉の前 37 28
3092 冷藏庫前 5 37
3332 コピー機前 6 49
3334 コーヒーサーバ前 6 34
3365 コピー機前 6 49
3370 コピー機前 6 49
3464 白い棚の前 3 29
3541 コピー機前 6 49
3544 秘書スペース 6 23
3547 秘書スペース 12 23
3620 ミーティングスペース 25 24
3649 ミーティングスペース 1 24
3809 扉の前 10 28
3847 ブックスタンド 22 0
3849 ブックスタンド 22 0
3863 扉の前 34 28
